original_name,normalized_name,volume,volume_unit,package_count,price,price_total,source_file
SYNPOWER FE 0W30 DR 208 L,VALVOLINE SYNPOWER FE 0W30 DR 208 L,208,L,1,721.25,150020.16,
SYNPOWER FE 0W30 PL 20 L,VALVOLINE SYNPOWER FE 0W30 PL 20 L,20,L,1,740.29,14805.89,
SYNPOWER FE 0W30 4/5 L SW,VALVOLINE SYNPOWER FE 0W30 4/5 L SW,5,L,4,801.85,16036.91,
SYNPOWER FE 0W30 4/5 L NSW,VALVOLINE SYNPOWER FE 0W30 4/5 L NSW,5,L,4,801.85,16036.91,
SYNPOWER FE 0W30 4/4 L SW,VALVOLINE SYNPOWER FE 0W30 4/4 L SW,4,L,4,793.12,12689.88,
SYNPOWER FE 0W30 4/4 L NSW,VALVOLINE SYNPOWER FE 0W30 4/4 L NSW,4,L,4,793.12,12689.88,
SYNPOWER FE 0W30 12/1 L SW,VALVOLINE SYNPOWER FE 0W30 12/1 L SW,1,L,12,823.71,9884.54,
SYNPOWER FE 0W30 12/1 L NSW,VALVOLINE SYNPOWER FE 0W30 12/1 L NSW,1,L,12,823.71,9884.54,
SYNPOWER LL-12 FE 0W30 PL 20 L,VALVOLINE SYNPOWER LL-12 FE 0W30 PL 20 L,20,L,1,758.65,15173.09,
SYNPOWER LL-12 FE 0W30 4/5 L SW,VALVOLINE SYNPOWER LL-12 FE 0W30 4/5 L SW,5,L,4,801.85,16036.91,
SYNPOWER LL-12 FE 0W30 12/1 L SW,VALVOLINE SYNPOWER LL-12 FE 0W30 12/1 L SW,1,L,12,823.71,9884.54,
SYNPOWER FE 5W20 DR 208 L,VALVOLINE SYNPOWER FE 5W20 DR 208 L,208,L,1,643.22,133789.92,
SYNPOWER FE 5W20 KE 60 L,VALVOLINE SYNPOWER FE 5W20 KE 60 L,60,L,1,650.74,39044.33,
SYNPOWER FE 5W20 PL 20 L,VALVOLINE SYNPOWER FE 5W20 PL 20 L,20,L,1,647.76,12955.20,
SYNPOWER FE 5W20 4/5 L SW,VALVOLINE SYNPOWER FE 5W20 4/5 L SW,5,L,4,686.48,13729.67,
SYNPOWER FE 5W20 4/5 L NSW,VALVOLINE SYNPOWER FE 5W20 4/5 L NSW,5,L,4,686.48,13729.67,
SYNPOWER FE 5W20 12/1 L SW,VALVOLINE SYNPOWER FE 5W20 12/1 L SW,1,L,12,715.76,8589.06,
SYNPOWER FE 5W20 12/1 L NSW,VALVOLINE SYNPOWER FE 5W20 12/1 L NSW,1,L,12,715.76,8589.06,
SYNPOWER FE 5W30 DR 208 L,VALVOLINE SYNPOWER FE 5W30 DR 208 L,208,L,1,629.45,130925.76,
SYNPOWER FE 5W30 KE 60 L,VALVOLINE SYNPOWER FE 5W30 KE 60 L,60,L,1,653.37,39202.23,
SYNPOWER FE 5W30 PL 20 L,VALVOLINE SYNPOWER FE 5W30 PL 20 L,20,L,1,656.21,13124.11,
SYNPOWER FE 5W30 4/5 L SW,VALVOLINE SYNPOWER FE 5W30 4/5 L SW,5,L,4,671.18,13423.67,
